"country","code","year","consumption"
"Tunisia","TUN",2019,2.01463
"Turkey","TUR",2019,1.82036
"Turkmenistan","TKM",2019,2.92752
"Tuvalu","TUV",2019,1.24819
"Uganda","UGA",2019,12.2144
"Ukraine","UKR",2019,8.69842
"United Arab Emirates","ARE",2019,2.36873
"United Kingdom","GBR",2019,10.8168
"United States","USA",2019,9.56731
"Uruguay","URY",2019,5.45265
"Uzbekistan","UZB",2019,2.60223
"Vanuatu","VUT",2019,1.87288
"Venezuela","VEN",2019,3.01625
"Vietnam","VNM",2019,9.33984
"World","OWID_WRL",2019,5.4347816
"Yemen","YEM",2019,0.02778
"Zambia","ZMB",2019,3.85176
"Zimbabwe","ZWE",2019,3.62809
