"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Torbay","South West England",2021,7.7,70.53270398,3.07,7.42,61.70254685,30.83868404,3.284175942,80.53,7.39,5.638021407,23.65241638,59.4335762,30.16868445,65.20333712,12.19109906,15.4,3.91418257,94.18676562
"Swindon","South West England",2021,7.85,71.09243697,3.25,7.5,53.10919246,20.28024483,3.328655811,81.685,7.6,5.608373975,13.37554602,64.9871028,30.3674787,70.05254033,4.278752145,12.5,3.76180294,93.68131868
"Peterborough","East of England",2021,7.67,66.97490092,3.12,7.26,47.20006146,56.84518917,2.289043829,80.545,7.27,7.896321301,59.63097845,60.69873529,30.56029406,57.4389317,16.63978109,14.4,4.6997136,93.01686936
"Luton","East of England",2021,7.91,68.32620648,2.75,7.74,48.7781475,19.36520169,7.418047494,80.235,7.67,5.277996328,10.34445535,67.51032445,32.49306434,56.78528204,3.113518899,14.1,6.04237626,93.97240378
"Southend-on-Sea","East of England",2021,7.84,73.81170018,3.15,7.52,54.61575337,16.73843565,4.046524968,80.575,7.55,5.427497497,11.05367769,68.83133465,27.91041522,65.44150638,5.537067901,12.9,4.61867242,93.21125502
"Thurrock","East of England",2021,7.77,73.86914378,2.96,7.5,50.62080778,12.32771762,3.853271701,80.445,7.61,5.896394369,8.03253529,76.34524493,32.30932203,60.29471525,1.136996737,12.6,4.7065192,93.02575107
"Medway","South East England",2021,7.66,73.96566282,3.33,7.37,56.74991745,19.55114643,3.138134624,80.335,7.38,6.34444118,12.63423896,69.37409965,37.86185263,60.83964716,3.931000225,14.5,4.08973716,94.82368166
"Bracknell Forest","South East England",2021,7.66,75.84187408,3.48,7.37,57.50418322,21.92650282,4.07129455,83.55,7.47,4.912817622,12.9882623,63.50335249,26.08251634,65.45944031,1.597775896,10.8,3.49778996,96.55455291
"West Berkshire","South East England",2021,7.73,74.91638796,3.18,7.47,57.69811404,17.770659,7.556669616,83.265,7.5,3.792635598,9.998643986,61.49926099,24.47363786,67.48087321,0.617798783,13.4,2.98640744,96.26315789
"Reading","South East England",2021,7.54,69.96684036,3.42,7.41,56.82165009,18.96893556,3.389702973,80.635,7.3,9.504980136,18.63284976,63.51179234,29.03896104,69.14432277,12.70427903,15.8,4.06181156,93.89705882
"Slough","South East England",2021,7.49,73.82220401,3.14,7.41,49.74927042,17.25482207,6.756855148,80.45,7.25,6.545123916,8.876539333,61.94903767,31.91874234,48.79179646,12.00336094,14.9,6.1531804,94.92490937
"Windsor and Maidenhead","South East England",2021,7.56,75.09727626,3.45,7.37,60.63824428,14.12024029,8.15552438,83.26,7.65,4.614174373,10.38209464,56.98291902,22.58592753,70.77124372,1.949051786,11.9,3.65291395,95.28301887
"Wokingham","South East England",2021,7.76,77.40686986,3.4,7.44,57.24213406,24.24475244,6.961357571,83.96,7.47,3.115927448,13.06947408,60.15552082,25.17640628,68.39193371,2.245059466,6.7,2.82281118,95.27744982
"Milton Keynes","South East England",2021,7.71,73.4522844,3.27,7.4,56.81349298,20.9391899,6.596337216,81.245,7.43,5.677213058,13.14928885,69.34447432,27.19279685,66.83471717,6.245641063,14.9,3.78465076,93.82992327
"Brighton and Hove","South East England",2021,7.71,71.73228346,3.71,7.26,65.28689973,12.88981671,20.19704065,81.25,7.57,8.147721586,38.06585615,58.80947713,27.58842415,69.03710831,13.38959375,13.7,4.7680765,94.56378781
"Portsmouth","South East England",2021,7.69,69.40639269,3.22,7.33,49.65841298,33.72420294,19.525785,80.42,7.36,14.18776666,37.38643821,65.43824825,34.4990271,61.19601972,11.60384474,13.6,4.74423946,91.95214791
"Southampton","South East England",2021,7.62,71.43826323,3.2,7.4,54.11769768,21.3044143,7.613341324,80.39,7.44,8.466734158,20.45102375,64.99492504,30.82898335,64.77971156,3.639952114,12.5,5.24095208,91.52305543
"Isle of Wight","South East England",2021,7.63,71.45015106,3.34,7.34,64.02095892,27.28020054,3.091077573,81.515,7.27,2.129364142,21.65098736,61.72617248,28.57356459,70.23178532,3.5488931,13.1,4.91281496,95.63758389
"County Durham","North East England",2021,7.68,71.89961531,2.9,7.39,57.77594353,21.6600846,6.603450911,79.485,7.54,5.491898137,20.30325887,70.81948784,31.24858247,63.52826557,2.10992316,16.2,5.3,91.42914092
"Cheshire East","North West England",2021,7.88,73.03703704,3.14,7.47,53.47853424,23.47917428,6.138260707,82.045,7.76,3.674996832,14.65257703,68.30427375,27.54173228,70.57993736,0.99868174,13.5,3.7,96.21351565
"Cheshire West and Chester","North West England",2021,7.83,71.64299116,2.93,7.4,54.96237357,17.19143185,4.53480963,81.505,7.47,4.868784229,13.26067347,60.24013271,28.82264063,73.40023953,2.236517295,8.8,3.6,93.12869614
"Shropshire","West Midlands",2021,7.84,72.71169009,3.01,7.4,62.20108474,16.8589952,7.207513222,81.945,7.56,3.497072968,9.434999248,67.96253674,26.14691615,72.88171156,6.46718979,13.2,3.7,91.8556701
"Cornwall","South West England",2021,7.77,70.29581656,3.14,7.47,59.45223596,21.362652,10.34090407,81.74,7.58,2.086171439,15.90859475,62.70671883,28.47679564,71.69227052,4.895019318,11.5,3.5,93.40722339
"Wiltshire","South West England",2021,7.74,72.39431487,3.12,7.51,58.58002976,21.53599816,9.689732395,82.725,7.44,2.735731148,16.44275411,61.78710804,26.49037927,72.87794568,2.14253298,11.7,2.7,94.58856911
"Bedford","East of England",2021,8.05,68.82378662,3.28,7.5,51.26222178,29.82349097,3.17154735,81.235,7.89,7.029716006,15.94628408,63.29331444,29.28950472,68.14092923,1.076652257,9.9,4.46412789,94.18425116
"Central Bedfordshire","East of England",2021,7.79,72.53722795,2.77,7.64,58.04472092,19.97748625,3.55313948,82.32,7.72,4.019095805,14.27978023,65.83704788,25.33936652,68.92334407,1.015087585,11.5,3.052035024,94.03367496
"Northumberland","North East England",2021,7.91,74.52208306,3.06,7.48,57.61601047,21.21979106,1.999850476,81.075,7.68,3.931196344,17.94106789,65.88752586,33.42013889,70.1253437,1.24394355,11.8,5.2,93.51557533
"Bournemouth, Christchurch and Poole","South West England",2021,7.66,73.95104895,3.19,7.49,57.84841006,21.24712244,2.642194096,82.025,7.5,7.113547227,16.20325412,63.88700438,25.44467932,69.96137113,7.248024913,11.4,3.9,94.53277545
"Dorset","South West England",2021,7.9,71.48797149,2.91,7.65,64.81903905,21.66456764,2.565182244,83.045,7.69,2.043229039,11.4010569,59.04029956,26.54944946,68.08016136,3.409460466,9.4,3.1,94.43663951
"Buckinghamshire","South East England",2021,8,74.32698621,2.99,7.51,58.37695333,20.84347837,2.46692653,83.305,7.79,3.081928856,11.16512366,60.95461862,24.60714908,71.87792161,0.540290352,10.5,3.6,95.87217044
"North Northamptonshire","East Midlands",2021,7.67,70.0978109,2.66,7.62,52.7467541,29.88796021,3.572153948,80.815,7.5,4.771035931,18.05266788,69.60060282,28.81458233,62.5882155,3.329809285,16.17951993,3.6,94.17555373
"West Northamptonshire","East Midlands",2021,7.76,72.11859415,2.92,7.51,51.45340841,20.85256013,2.747143147,81.26,7.66,3.587119806,13.8727869,68.91660823,25.83760246,63.29214492,3.517312211,11.70708548,3.6,94.38639125
"Cambridge","East of England",2021,7.64,70.30042918,3.54,7.45,56.85447357,11.87131838,5.647752725,82.93,7.46,20.77353014,18.13118618,49.59876247,20.82829312,76.10168879,9.674254046,14.3,3.43457252,92.93478261
"East Cambridgeshire","East of England",2021,7.89,72.22222222,2.7,7.75,61.86786809,19.15371576,4.470305794,82.89,7.71,3.216075944,12.74060673,63.35672292,22.52326218,67.56222285,3.403482897,5.5,2.89127189,96.34955752
"Fenland","East of England",2021,7.64,67.69825919,2.66,7.6,52.53744737,24.62711488,7.836220766,80.36,7.62,3.242554859,12.8575155,67.13047739,30.46251994,55.81300698,8.759806116,27.8,4.29559538,92.68585132
"Huntingdonshire","East of England",2021,8.01,70.77077077,2.74,7.53,51.18362271,24.30219355,5.327923431,82.56,7.78,3.072883203,15.33626262,65.32691405,26.38662707,68.59512454,3.850300323,12.7,3.41841288,93.49593496
"South Cambridgeshire","East of England",2021,7.8,74.21790723,3.39,7.47,61.9171808,21.66261448,5.061103771,84.49,7.63,1.901755084,20.686613,58.32088805,22.46419695,73.41352677,1.22697881,6.3,2.9156791,96.15839243
"Allerdale","North West England",2021,7.66,68.0293501,3.07,7.37,56.90592768,16.77629249,4.624212932,80.715,7.47,2.412323292,7.900687663,57.79719723,33.9031339,73.19757213,0,15.5,3.51889354,94.61187215
"Barrow-in-Furness","North West England",2021,6.91,70.52932761,3.57,7.4,53.18120649,12.20379888,2.531799833,78.855,7.28,4.825705122,9.183234251,63.92067669,34.77350794,61.57979021,0,19,4.09406056,92.92168675
"Carlisle","North West England",2021,7.7,70.40322581,3.52,7.52,59.55218497,28.62835968,2.228331365,80.2,7.45,5.353654491,25.33432159,70.34480146,27.96123125,64.48204655,0,14.7,3.28621203,94.36090226
"Copeland","North West England",2021,7.75,68.34319527,2.67,7.76,53.80199536,26.29627655,2.228879797,79.815,7.67,2.292735263,15.27555861,65.58632054,33.50174216,72.85562912,0,17.8,2.73137621,95.32062392
"Eden","North West England",2021,7.63,71.82448037,2.56,7.42,57.26417874,10.28923058,5.190976977,83.96,7.8,2.437027942,5.349226504,66.82576751,26.62957075,75.80320638,0,8.2,2.86088373,96.31675875
"South Lakeland","North West England",2021,8.07,74.76415094,2.83,7.88,64.27882892,11.60452934,3.810020606,82.56,7.86,1.60144893,7.54388294,57.50468885,27.9743029,73.598003,8.597959418,10.4,2.81931607,97.51286449
"Amber Valley","East Midlands",2021,8.1,71.92156863,2.68,7.59,54.96925889,16.260935,2.418472201,81.36,7.79,3.795729222,12.69159279,62.61780139,28.18825911,69.94869943,0.79058258,15.9,3.38328904,93.67588933
"Bolsover","East Midlands",2021,7.66,68.21983274,3.07,7.25,49.22399061,18.83995966,3.380255959,79.72,7.48,3.025644179,13.40218907,68.85987206,29.46170592,58.46328069,0,15.9,3.28656627,90.40333797
"Chesterfield","East Midlands",2021,7.73,68.87298748,3.71,7.2,56.19522019,28.83775796,2.35748338,79.8,7.33,5.861050224,24.03550646,70.08051214,28.50730371,66.77813324,4.822903002,11.4,4.16485414,92.82094595
"Derbyshire Dales","East Midlands",2021,7.72,72.60504202,3.05,7.26,67.54152595,12.08008143,4.333645177,82.935,7.62,2.098809754,6.718078114,59.60132842,26.66666667,75.98927593,2.790139646,13.3,3.44018596,95.71045576
"Erewash","East Midlands",2021,7.79,68.91151135,2.93,7.38,56.97097461,14.6138327,3.764485774,80.89,7.65,5.297749107,13.64124347,72.15601173,26.34085213,61.46226802,0,18.6,3.45993793,90.17013233
"High Peak","East Midlands",2021,8.49,73.17880795,2.36,7.91,60.85959829,13.78923958,2.262856324,80.83,8.34,2.450530588,10.51450435,66.96247641,24.84942085,72.63707682,2.195293291,15.3,3.91283222,95.13574661
"North East Derbyshire","East Midlands",2021,7.65,71.9,2.89,7.58,58.02157219,15.45427946,3.838256676,81.07,7.53,0.997886828,8.584006201,73.76521356,27.29924502,68.60393994,0,9.9,2.80773048,93.89736477
"South Derbyshire","East Midlands",2021,7.72,72.35142119,3.23,7.57,49.26150042,16.37089853,3.273527862,81.235,7.76,1.762299573,10.5092884,70.43507504,28.77941802,69.99456404,0.925386117,11.9,3.7626054,93.4751773
"East Devon","South West England",2021,7.75,73.6422882,3.06,7.25,67.6720753,19.05406235,3.491985916,83.455,7.48,1.073743922,9.490638246,65.17154286,26.41804964,69.08124034,5.259006048,11.1,2.9138026,94.81245012
"Exeter","South West England",2021,7.59,71.78257394,3.64,7.17,62.66439495,30.29185255,3.711739018,81.57,7.31,3.547508869,22.39986392,61.26332727,24.24731183,74.61518021,10.82694672,12.2,3.24949741,92.6780341
"Mid Devon","South West England",2021,7.94,70.46263345,2.41,7.57,61.11669957,13.98829643,3.51402181,82.78,7.75,1.068555649,9.254386503,63.12425585,18.39339339,66.65964565,6.010626788,10.8,2.98819337,91.88829787
"North Devon","South West England",2021,7.97,72.40704501,2.86,7.64,61.89991604,16.45058982,2.927992259,82.17,8,1.976163797,15.19584437,64.12322821,24.22851956,71.170141,7.039774727,10.3,2.92427324,95.92417062
"South Hams","South West England",2021,8.02,76.6798419,2.62,7.65,67.48212628,9.887874264,3.567466836,83.64,7.71,1.307620585,9.918287041,50.81753227,24.04869067,76.25081897,2.241825743,5.1,2.74679883,95.57739558
"Teignbridge","South West England",2021,7.92,73.10398749,2.69,7.61,64.22459093,18.20250608,3.60593679,82.59,7.8,1.310732455,8.961970155,64.26935955,24.91071429,71.65266604,3.697787244,19,3.07047947,94.37788018
"Torridge","South West England",2021,8.25,68.98148148,2.4,8.16,54.20749268,20.72686994,21.00964999,81.74,8.25,1.979074201,14.1635456,65.7223635,31.8974359,70.32424893,10.22270902,6.4,2.78996723,93.8976378
"West Devon","South West England",2021,7.84,74.09638554,2.84,7.83,66.94913732,19.03895232,20.98022227,82.315,7.87,1.30034379,13.9541932,62.95303109,27.06801471,75.52797768,0,13.9,2.95682231,94.05034325
"Eastbourne","South East England",2021,7.71,75.13661202,3.32,7.56,64.91723287,18.2908887,9.441354105,81.25,7.46,5.555340482,14.63572139,60.90669061,27.26986129,66.09261685,9.843197858,13,4.82809632,91.15853659
"Hastings","South East England",2021,7.9,75.58685446,3.19,7.9,45.66528803,22.10514284,20.5211162,79.875,7.69,5.099725566,15.95620228,63.730062,29.03837573,70.70767161,25.28611792,25.8,5.49784007,91.56626506
"Lewes","South East England",2021,8.09,73.7654321,3.79,7.81,61.35623917,20.21395322,4.846404958,82.665,7.64,2.395556629,14.37705355,61.57125256,26.95461557,73.01542578,10.97870132,12.4,3.880087,92.92828685
"Rother","South East England",2021,8.17,75.33333333,3.63,7.68,63.13648413,21.46891693,4.232214579,82.325,7.82,2.564208611,9.0171373,66.78558113,27.45098039,69.95645443,3.210994445,16.7,3.64228864,92.92134831
