"area_name","region","year","activities_in_life_are_worthwhile","early_years_development","feelings_of_anxiety","happiness","healthy_eating","high_blood_pressure","household_overcrowding","life_expectancy","life_satisfaction","low_level_crime","mental_health_conditions","overweight_and_obesity_in_adults","overweight_and_obesity_in_children","physical_activity","rough_sleeping","smoking","unemployment","young_ppl_edu_empl_appren"
"Dacorum","East of England",2021,7.63,70.53241961,3.2,7.19,62.61418159,21.64975916,4.513795549,82.53,7.43,6.606328438,15.71052304,61.82569789,25.69970693,69.32113831,3.221296636,14.3,3.51913656,95.0435365
"Hertsmere","East of England",2021,7.6,73.53171496,2.92,7.64,61.06082705,22.69371529,6.205966421,81.735,7.08,7.528135696,9.898410058,62.758477,26.42005158,62.44732461,2.775079784,13.9,3.64898392,95.02133713
"North Hertfordshire","East of England",2021,8.09,75.89905363,2.95,7.8,62.25075123,15.8093526,4.924941184,82.63,7.9,4.248368462,10.39836962,55.51007264,22.6530083,70.68685877,0.748665504,9.5,3.34990416,95.46279492
"Three Rivers","East of England",2021,8.09,73.07307307,2.58,7.64,57.46028194,15.71394487,2.552145969,82.76,7.93,3.256497031,8.75475225,62.85779899,22.78244631,69.60303262,1.064373297,11,3.3744938,97.12543554
"Watford","East of England",2021,7.74,66.33587786,3.26,7.55,56.20574349,23.20748693,3.283013787,80.985,7.62,8.269252662,11.41739477,67.34513302,28.35904628,59.17822403,5.856458209,9.4,4.33486234,96.79572764
"Ashford","South East England",2021,7.99,72.8515625,3.05,7.71,53.22233495,28.61010407,5.733754113,81.645,7.68,4.350547253,28.06935381,63.52679961,30.62373013,66.86872284,0,17.1,4.62541961,95.13274336
"Canterbury","South East England",2021,7.81,74.16201117,3.32,7.39,56.82791334,35.44669387,3.815979396,81.43,7.91,5.630779194,28.26504045,59.16031813,27.28239638,71.50671653,11.49763021,18.2,3.84758795,95.06849315
"Dartford","South East England",2021,8.6,73.55163728,1.7,7.93,52.37719761,25.9522607,12.78890324,80.71,8.05,6.584773479,14.9424218,70.37273909,31.43805696,63.47100995,5.137998065,5.1,4.6399652,94.56521739
"Dover","South East England",2021,7.99,75.63667233,3.4,7.47,56.73569321,15.76787651,13.84800636,81.11,7.52,3.172620956,9.038690898,64.26893394,32.05084196,68.89006673,4.288348557,23.4,4.66186752,92.37079573
"Gravesham","South East England",2021,7.49,75.77854671,2.46,7.3,51.44897221,23.48758661,16.90162469,81.2,6.81,6.586210123,12.61258096,65.24037008,34.03636364,68.71779651,4.679982778,16.7,4.28976285,95.27930763
"Maidstone","South East England",2021,7.75,73.03424988,3.23,7.35,52.67215409,17.67789875,8.576539615,81.765,7.41,4.279971351,10.97007862,61.03382679,28.47753567,68.19251713,1.697677577,10.8,3.57287894,95.23565574
"Sevenoaks","South East England",2021,8.18,77.2797527,2.49,7.92,64.84482495,16.45556048,2.396513204,83.145,7.72,5.536012917,8.139457559,55.31759152,25.97602161,70.38585551,0.827533701,4.8,4.17926971,94.83101392
"Folkestone and Hythe","South East England",2021,7.72,75.38860104,3.39,7.61,57.88913461,18.47018828,4.918484174,80.845,7.53,6.000705965,10.86360923,66.74895705,30.95556404,64.54538175,7.269026677,11.5,4.28725628,93.62119725
"Swale","South East England",2021,7.69,74.11699779,2.71,7.37,47.19618402,19.67012321,1.433766421,80.51,7.49,6.502665298,10.52197695,70.62638049,31.49309551,64.86215845,3.9415857,13,3.99487113,93.42537804
"Thanet","South East England",2021,7.73,64.70588235,3.9,7.25,58.10592173,22.88077974,2.63656177,79.845,7.33,6.044196864,17.0279578,65.08161061,31.35099173,65.29342608,9.951804831,16.9,5.95335941,91.22807018
"Tonbridge and Malling","South East England",2021,7.51,76.73521851,2.95,7.61,58.73586659,18.75243205,5.826449151,82.405,7.43,3.718762022,9.889280338,57.36372181,27.74615109,74.16487034,1.510733763,11.5,3.00552304,94.77513228
"Tunbridge Wells","South East England",2021,7.82,77.59197324,3.57,6.94,67.6875046,13.45224541,4.385534185,82.92,7.56,3.833898049,9.06434813,58.67852168,26.86138164,72.15531104,1.728892385,13.3,3.77782294,95.94072165
"Burnley","North West England",2021,7.03,63.55140187,2.47,7.22,51.67438358,19.6554054,2.166258058,77.98,7.17,6.469376791,21.25532771,73.39144096,30.23375799,62.0605315,6.334392585,21.2,6.07080022,88.18088386
"Chorley","North West England",2021,8.16,70.89494163,2.57,7.54,58.74243991,15.88135817,3.017541432,80.4,7.79,3.322957853,9.302210396,65.78404084,30.32164113,69.23795225,4.239551625,17.6,3.84767136,93.75438596
"Fylde","North West England",2021,7.93,76.14942529,2.49,7.89,59.85152834,19.79461314,7.358842271,81.39,7.88,2.167194099,12.20447632,67.77786487,23.18481848,60.97225015,2.443643472,9.3,4.12898699,95.25267994
"Hyndburn","North West England",2021,7.73,67.20686368,2.5,7.58,45.22612676,17.71140498,2.299861623,78.685,7.29,5.386217692,13.19209835,71.12031051,32.48156623,62.78343347,2.431285785,19.5,5.18222622,92.39250276
"Lancaster","North West England",2021,7.92,70.13513514,3.27,7.55,53.14999034,96.03787549,1.659168766,80.345,7.91,4.46937935,132.5747555,66.10083065,29.91387928,68.82372121,2.110268567,13.6,4.86549395,94.09862571
"Pendle","North West England",2021,8.17,62.37234878,2.28,8.1,48.66104615,18.74920877,2.573527455,79.765,7.98,3.896033426,11.16610049,68.70128771,31.55144033,63.36615541,0,11.8,5.67624748,93.83634431
"Preston","North West England",2021,7.24,68.33872708,3.71,7.52,51.44728099,17.95749609,5.522351077,78.605,7.33,5.369518616,18.01024226,62.76866845,29.26264912,63.66519666,4.064572509,12.2,4.94089189,91.70542636
"Ribble Valley","North West England",2021,7.93,73.8267148,3.38,7.62,57.40690632,21.62505337,3.238412176,82.385,7.73,1.660593944,16.84643631,60.68436262,26.79689186,74.19912862,0,17.8,3.05835655,94.41277081
"Rossendale","North West England",2021,8.02,70.74829932,3.22,7.22,48.7687946,17.28571043,3.240680566,79.54,7.69,3.933811177,16.29673907,67.89251583,33.36247086,67.15356797,2.816504718,20.9,3.64774131,95.03631961
"South Ribble","North West England",2021,7.3,71.39442231,3.62,7.45,54.24481137,16.05445165,2.138943298,81.8,7.36,3.879876852,15.63411031,61.54348788,28.94979697,68.31330193,1.798496457,14.4,3.46670338,94.09814324
"West Lancashire","North West England",2021,8.13,70.92013889,3.15,7.61,51.73330545,17.47884837,4.045528173,80.585,7.57,1.860326998,12.45124334,65.12065106,32.97330523,65.00400026,0,12.4,3.92353572,93.25210872
"Wyre","North West England",2021,8.03,71.38728324,3.41,7.55,52.2291085,18.90532222,6.146523118,80.055,7.72,3.856120707,11.50487132,64.23254279,28.69004178,65.48308526,2.667686316,11.4,3.91003558,92.89795918
"Blaby","East Midlands",2021,8.33,73.99665552,2.87,8.03,57.35420941,15.42919467,4.009077499,83.145,8.1,2.609122119,11.51120727,71.40471816,25.00217372,65.08561831,0.968326055,11.7,4.10331112,92.57503949
"Charnwood","East Midlands",2021,8.03,70.77185017,3.1,7.71,56.66220107,13.74667105,3.18880479,81.925,7.91,4.702360734,12.81165415,62.61423234,26.73893883,73.00871147,1.093990165,15.4,3.66724359,93.70709382
"Harborough","East Midlands",2021,8.16,71.82952183,3.39,7.33,66.49204753,22.66223265,5.965221375,82.765,7.57,2.250437003,18.52229341,59.67908866,22.24791859,69.01087256,4.069714204,10,3.22420191,94.92537313
"Hinckley and Bosworth","East Midlands",2021,8.07,70.6122449,2.7,7.8,52.08378217,17.47536018,2.139274686,82.005,8.01,2.190628684,12.52072049,68.50711912,23.85717878,61.46904384,4.39908499,7.4,3.78202746,94.99060739
"Melton","East Midlands",2021,7.63,75.2851711,2.13,7.22,60.60839643,56.42364264,4.849745515,82.395,7.03,2.62676577,17.99162414,58.35214208,27.05504587,70.04414623,3.863017403,11,4.03141224,94.08033827
"North West Leicestershire","East Midlands",2021,8.27,72.36723672,3.2,7.48,51.88326502,15.14076204,2.816163036,81.585,8.02,2.871890773,12.96814537,70.93480558,24.53922864,62.58169094,0.95228119,13.1,3.38034205,93.47389558
"Oadby and Wigston","East Midlands",2021,8.13,72.39819005,2.72,7.01,57.33878837,16.8518218,1.864077695,82.03,7.21,4.222427721,9.851682053,66.28463903,23.7804878,59.0103117,1.731511783,3.2,3.78907701,93.75
"Boston","East Midlands",2021,7.57,65.32258065,3.17,7.62,53.82667451,19.6976626,2.755187414,79.875,7.7,10.44651806,10.04269993,73.39595728,36.16950561,56.72593784,8.474815673,12,5.3953175,94.66666667
"East Lindsey","East Midlands",2021,7.96,69.07378336,3.3,7.84,57.02511923,23.1584302,3.629869937,79.92,7.67,4.287826516,12.65232587,62.35011011,30.74479966,62.47673742,2.098621206,12.5,6.27028276,93.84372534
"Lincoln","East Midlands",2021,7.73,67.26415094,3.52,7.59,50.10148971,12.76227102,2.614616594,78.46,7.35,14.93268299,18.81021378,67.4951408,31.86020218,72.45165351,13.6812274,14.7,5.25066801,91.91616766
"North Kesteven","East Midlands",2021,7.91,75.02014504,2.61,7.63,59.21775663,20.36413332,1.946127228,81.73,7.55,2.742299977,12.91974222,63.34313756,26.81902985,65.05594471,0,16,3.17875607,95.75471698
"South Holland","East Midlands",2021,7.5,65.66731141,2.95,7.33,53.99435401,26.98037205,4.262069202,81.7,7.48,4.496280918,10.58176528,72.93290387,32.42743035,54.01622184,5.236424569,19.4,3.97903224,94.30449069
"South Kesteven","East Midlands",2021,7.68,71.93548387,2.79,7.51,55.58473266,30.06542483,2.754338844,82.365,7.71,4.279979054,20.89402447,68.92965911,30.16646139,60.91119567,1.39094633,6.6,3.52306781,94.99702204
"West Lindsey","East Midlands",2021,7.95,70.23474178,3.27,7.73,60.90114643,18.07976068,3.800536023,81.485,8.07,3.389266629,13.93465158,67.28285831,30.48245614,67.07612947,2.092706916,14.8,4.24868415,95.45454545
"Breckland","East of England",2021,7.77,71.75414365,2.82,7.77,57.08004449,19.16236709,1.878215868,81.9,7.62,2.293724116,12.63881722,62.00871732,31.27362056,66.21786406,5.627303677,15.1,3.70698313,93.73913043
"Broadland","East of England",2021,7.86,78.30820771,2.86,7.58,61.31341717,16.74697366,5.615145373,83.215,7.66,1.78123413,11.48066106,61.23239858,24.78102969,68.03072663,1.512321641,14.9,3.13569327,94.31818182
"Great Yarmouth","East of England",2021,8.32,72.86384977,2.64,7.6,50.43121598,36.97108686,4.267739311,80.56,8,4.536381782,32.85042357,68.70002245,31.90711928,60.22656062,8.986879156,13.8,4.69754141,94.75847893
"King's Lynn and West Norfolk","East of England",2021,8,72.07379135,2.6,7.57,57.11824722,22.40444789,3.698774904,80.97,7.5,3.398459453,18.30307956,68.26916593,30.19083407,57.5289285,0.645536118,19.3,4.00213069,92.54317111
"North Norfolk","East of England",2021,7.93,70.28639618,2.96,7.35,61.03160941,17.79815552,2.720204976,82.7,7.62,1.369250811,12.31081201,69.3291972,26.69699367,74.09345872,2.905372033,13.2,3.55247758,93.42604298
"Norwich","East of England",2021,7.83,67.51507033,4.04,6.88,52.31135298,13.1525332,3.298855314,80.38,7.5,11.30281269,39.21841552,61.76020394,28.44902198,70.37918488,6.987241297,20.2,4.19539363,93.27102804
"South Norfolk","East of England",2021,7.55,74.66666667,3.25,7.36,60.86189198,15.4395413,6.462445661,83.215,7.36,1.670557645,10.90792528,59.75912189,24.1907141,65.81317734,0.701621447,11.9,3.32656874,94.64831804
"Craven","Yorkshire and the Humber",2021,7.33,71.57676349,3.87,7.03,57.26897215,19.46287501,18.48969646,82.88,7.43,2.877672748,11.95104302,54.95695757,25.77849117,72.13638607,5.254860746,9.4,2.41438807,97.39368999
"Hambleton","Yorkshire and the Humber",2021,8.35,74.78368356,2.17,8.05,63.21314799,16.14021207,16.31617555,83.02,8.09,2.89344298,11.87209755,64.05364961,26.50252661,69.45128279,1.098454475,10.7,3.1540503,94.23076923
"Harrogate","Yorkshire and the Humber",2021,8,74.51984635,2.57,7.83,62.69325889,14.57221901,6.445190134,82.96,7.86,2.890835371,9.6155429,59.40961414,25.04784689,73.87984646,1.828097864,9,2.92549071,96.46266143
"Richmondshire","Yorkshire and the Humber",2021,8.26,69.55719557,2.22,7.99,56.00281977,8.12700354,14.63178081,82.305,8.16,2.884686965,4.690304533,64.39319941,29.16666667,72.78970663,0,10.2,2.80422502,94.87704918
"Ryedale","Yorkshire and the Humber",2021,7.7,71.37176938,3.35,8.03,62.23591253,13.31857569,21.54854581,83.315,7.72,2.876197667,11.40538302,62.26840441,27.23684211,65.85898078,3.643186331,14,3.39822926,95.56737589
"Scarborough","Yorkshire and the Humber",2021,7.92,69.20792079,2.83,7.28,55.92424868,25.45018729,2.510105791,80.275,7.63,2.887701518,14.95373982,59.30794872,32.09594183,67.34189761,13.76664617,15.5,3.61587744,94.21661409
"Selby","Yorkshire and the Humber",2021,7.7,76.47637795,3.2,7.63,55.43853581,15.17798636,1.624707536,82.055,7.57,2.889952779,13.39648446,66.25011952,29.38086304,66.08765144,0,8.9,3.44081093,94.60674157
"Ashfield","East Midlands",2021,7.65,67.69230769,2.67,7.49,49.31546685,15.08685634,7.354859088,79.86,7.23,6.779027093,12.27561398,70.99522833,29.76718404,65.16353892,4.74788719,10.4,3.55391694,93.89426657
"Bassetlaw","East Midlands",2021,7.68,72.41100324,3.5,7.34,52.5604679,35.1866093,2.710223371,80.47,7.21,8.006425431,25.60736464,67.40648495,32.19191919,61.7012483,14.36405269,12.4,3.64227423,94.21052632
"Broxtowe","East Midlands",2021,7.99,72.25583405,3.06,7.49,56.8188829,17.76306055,7.244380794,81.38,7.73,5.783977597,13.74350533,63.48938205,26.42270237,73.17380158,0.902421196,18,4.09017746,94.10526316
"Gedling","East Midlands",2021,7.91,72.49809015,3.25,7.37,58.72833758,15.37680086,2.335477579,81.61,7.55,5.784893309,11.3772043,62.88876756,27.17249417,67.54951352,0,9.8,5.11937673,94.1543258
"Mansfield","East Midlands",2021,7.64,66.07142857,3.06,7.01,50.4625321,22.4108574,1.935563867,79.725,7.18,6.063044691,13.04694618,67.59465629,27.93280741,60.45530377,9.041427822,24.8,5.69249029,92.97520661
"Newark and Sherwood","East Midlands",2021,7.56,68.18181818,3.62,7.23,61.33752167,19.96686624,1.731392679,81.235,7.14,8.36534635,15.61365583,66.87527028,30.53454715,72.46858158,5.673390986,11.1,4.74959544,93.95348837
"Rushcliffe","East Midlands",2021,7.72,77.9342723,3.69,7.52,64.62483966,23.46111099,2.195995345,83.37,7.42,5.781775054,15.63365339,56.35372887,22.71628499,70.17148714,3.349017901,8.2,3.14327664,95.33742331
"Cherwell","South East England",2021,7.83,72.01599086,2.59,8,50.90868961,26.94785826,1.608982511,82.505,7.83,5.169711418,12.99603679,65.81376722,26.27023514,68.17445652,3.707434023,12.5,3.09722559,94.56434852
"Oxford","South East England",2021,8.16,71.95290859,3.6,7.71,63.245735,19.16353767,2.195930217,82.28,7.68,16.71020688,23.31388719,48.4397982,24.40344675,76.22905832,14.99803151,12.1,4.43304451,89.89710009
"South Oxfordshire","South East England",2021,7.82,75.47169811,3.52,7.5,60.65232365,13.2272216,2.202542733,83.83,7.83,3.17842289,12.67563539,59.80044464,23.55790813,72.42827154,1.333120034,9.2,3.0843876,93.8317757
"Vale of White Horse","South East England",2021,7.74,71.72638436,3.2,7.43,66.62223907,20.03153411,3.110822827,83.79,7.72,2.646653615,13.1001127,57.25969406,23.42162375,70.77062408,1.433825374,12.8,3.4277295,93.12714777
"West Oxfordshire","South East England",2021,7.97,76.85185185,2.51,7.63,60.15678121,16.65717603,3.288811895,83.325,7.71,2.43383024,11.1360515,61.01115942,22.47595244,75.28122573,4.34174764,3.7,3.15140656,93.31184529
"Mendip","South West England",2021,7.83,71.06227106,2.71,7.51,67.52207401,19.22197517,1.959149156,82.56,7.62,3.39673913,18.24105241,63.21084514,30.30072473,72.49091446,8.599561422,9.4,3.35876705,93.41126461
"Sedgemoor","South West England",2021,7.74,71.10460863,3.23,7.6,58.7245883,17.54429987,3.130529286,81.695,7.62,3.394196653,14.15046503,62.65176948,27.88261962,65.11469318,8.747375787,17.3,3.14248069,95.40607055
"South Somerset","South West England",2021,7.72,72.13872832,3.33,7.47,61.27861366,15.21361361,2.253695993,82.69,7.61,3.396642481,11.37599735,60.52775929,27.07848513,68.7706655,2.309828899,13.6,3.26744153,94.8840382
"Cannock Chase","West Midlands",2021,7.77,74.0969163,2.93,7.26,45.47177159,14.50254789,2.911527134,80.495,7.35,3.76414016,8.87547209,73.74739883,29.80832241,63.54474363,3.976538423,14.9,3.73775569,93.72781065
"East Staffordshire","West Midlands",2021,7.77,71.80527383,3.23,7.45,54.65720139,13.56110498,6.551220066,80.355,7.71,3.895040646,9.236249273,70.61350138,31.57335223,59.81903758,0,11.6,3.30967781,95.75221239
"Lichfield","West Midlands",2021,8.17,73.33333333,2.34,8.1,51.33793604,31.19303935,4.011849253,81.88,8.06,2.366595038,22.50147639,64.88528314,26.74319728,72.18991296,3.74149978,7.1,3.9904353,96.28349179
"Newcastle-under-Lyme","West Midlands",2021,7.96,73.81316998,3.11,7.87,53.97828683,14.620127,4.670624414,80.41,7.59,2.931872541,11.1329554,69.18152449,31.63431835,64.39207155,5.689900427,11.4,3.52686961,93.39464883
"South Staffordshire","West Midlands",2021,7.97,75.9047619,2.57,7.51,51.70423313,12.71314949,2.865128938,82.13,7.65,1.503973516,6.708234726,68.35143981,29.39189189,64.31074006,0.902584098,7.7,3.49599296,93.75
"Stafford","West Midlands",2021,7.33,76.89581857,3.2,7.24,56.2349489,18.19596773,2.124594467,81.98,7.1,3.27148225,9.827946974,61.69967147,28.48489971,70.84950673,5.829586609,6.9,3.37973449,94.72222222
"Staffordshire Moorlands","West Midlands",2021,8.26,75.82417582,3.1,7.72,57.91404079,12.16944844,1.251966211,81.655,7.94,1.635730033,10.5823678,68.82774696,28.94295302,68.42437429,2.083485254,8.5,3.05817841,96.05988968
"Tamworth","West Midlands",2021,7.85,71.62790698,2.63,7.33,52.96358853,21.07024029,1.272992594,80.495,7.43,4.189217319,16.38244375,74.94458664,28.65797587,62.40165775,1.268423857,12.3,4.04229218,90.83601286
"Babergh","East of England",2021,8.18,73.24766355,3.26,7.84,59.97431062,25.36806912,2.063305397,83.41,7.8,2.189033267,15.77142089,63.83898994,22.38722331,73.62688328,4.313924269,9.8,3.43402638,94.86581097
"Ipswich","East of England",2021,7.9,66.79797411,3.22,7.21,51.89337916,20.3446764,7.782665896,81.205,7.71,8.449834166,15.90761748,68.23762791,31.23156342,54.07074722,2.148781641,22,3.71058669,93.04347826
"Mid Suffolk","East of England",2021,8.09,75.09920635,2.95,7.76,60.25382303,20.17060854,2.699619314,83.115,7.99,0.991826964,9.862523896,60.43500402,25.76760792,68.67655987,0.966959011,11.7,3.22309887,95.3180212
"Elmbridge","South East England",2021,7.8,80.23917995,3.25,7.49,59.70775585,12.65204337,2.868069685,84.145,7.58,2.339394381,9.078446202,50.83361209,18.55736856,72.67415109,3.58759839,8.3,3.12009413,95.20467836
"Epsom and Ewell","South East England",2021,7.52,78.5,3.2,7.05,51.51704909,20.93105138,3.171366408,83.875,7.14,3.345555103,10.80484893,58.62331461,21.53679654,72.12456774,4.938393541,5.5,3.11901748,94.80401094
"Guildford","South East England",2021,7.63,77.23749119,2.88,7.18,57.78774248,15.65773164,5.188503535,83.965,7.39,5.054804725,11.04873107,59.81786475,21.07438017,71.05748286,5.558296104,5.9,2.77857872,94.70404984
"Mole Valley","South East England",2021,8.06,81.44078144,3.02,7.85,57.91324773,18.49731747,3.726284938,83.86,7.87,2.387289113,7.795237126,54.54457011,20.59268873,74.76917962,3.424344809,12.4,3.10530333,96.38069705
"Reigate and Banstead","South East England",2021,8.02,78.99945025,2.63,7.18,56.07997924,18.94840054,1.770378246,82.75,7.56,2.914709568,7.342490537,60.95211171,22.70264011,71.59422286,1.981204969,8.8,2.94262926,95.0115119
"Runnymede","South East England",2021,7.51,76.06557377,3.19,7.46,57.52657066,22.90677674,3.246043816,82.595,7.37,4.018731941,11.62765801,62.09676574,28.20512821,68.04120249,2.279488027,9,3.76103189,94.15137615
"Spelthorne","South East England",2021,7.68,74.89643745,3.63,7.4,53.08242389,17.59128087,9.60166295,82.19,7.27,3.464399788,9.687693829,64.36181099,24.99377645,64.12342324,1.941841837,9.9,4.01355222,95.03042596
"Surrey Heath","South East England",2021,8,81.61530287,1.91,7.82,55.38798098,22.00080285,2.793187132,83.375,8.01,3.744226716,14.39697649,62.32984685,22.79139685,75.12815783,5.51602405,5.7,2.77496926,95.0295858
"Tandridge","South East England",2021,8.14,81.15015974,2.61,7.44,59.48017497,17.76204643,2.862935701,82.955,7.91,2.032933523,10.51078782,56.68393973,21.98399085,76.56926503,2.269040083,11.7,2.74003273,93.68421053
"Waverley","South East England",2021,8.04,77.44186047,2.75,7.32,63.37954061,16.56587101,9.965958251,83.865,7.6,2.773475774,9.802411203,56.69470182,17.48213731,78.35324919,0.775927621,4.4,3.10336768,94.77379095
"Woking","South East England",2021,7.92,74.34514638,3.31,7.3,57.21651281,15.40772788,6.315215407,82.955,7.8,4.559635229,9.708138869,56.69941224,23.05944056,69.66628869,1.925131631,6.1,3.68680437,95.56494192
"North Warwickshire","West Midlands",2021,7.87,73.0994152,3.24,7.62,47.03756445,19.20558375,11.1062521,80.33,7.55,2.9945609,10.40218565,69.38524987,30.44134984,65.72248434,0,14.8,3.2362891,94.19978518
"Nuneaton and Bedworth","West Midlands",2021,7.84,68.55733662,3.24,7.4,50.95061012,17.28767455,14.00219023,79.46,7.69,6.090218067,8.884156588,69.14298968,30.69339089,57.89907244,2.978606161,15.2,3.30145168,91.36807818
"Rugby","West Midlands",2021,7.73,71.33382461,3.27,7.39,58.24345906,17.4649516,12.24527702,81.64,7.56,4.482602802,15.18097998,68.46857596,26.43541429,67.06349103,2.612580446,15.7,3.60639625,94.80642115
"Stratford-on-Avon","West Midlands",2021,7.84,73.56042174,2.91,7.61,63.21491977,15.05560648,10.73433126,83.19,7.86,4.592075648,9.318672041,64.19138474,25.31808962,70.28735111,2.206466418,9,3.48722779,95.3163017
"Warwick","West Midlands",2021,7.33,74.76759628,2.34,7.29,60.83323145,15.20046135,15.39074644,82.555,7.45,4.589086944,11.26048191,62.33664768,23.33552241,74.02694502,4.034182977,16.1,3.59756088,94.35273675
"Adur","South East England",2021,7.79,70.69199457,3.39,7.4,59.34989047,25.23385282,2.289441972,82.48,7.35,5.811145559,19.98551534,69.93403875,26.05377907,66.13018605,1.547364838,10.8,3.77254708,95.10022272
"Arun","South East England",2021,8.04,70.25745257,2.81,7.76,59.51294048,20.17743739,2.014983098,81.64,7.83,5.604414019,10.82093716,66.66717442,25.91318591,66.40774169,10.28899985,9.8,3.75092294,92.77777778
"Chichester","South East England",2021,7.85,73.53735374,3.45,7.26,64.63912577,17.7622245,2.124317849,82.58,7.4,4.090265662,11.57253903,59.39709679,25.32679739,75.58135775,2.409038713,12.8,3.9034317,92.20512821
"Crawley","South East England",2021,7.89,69.28020566,3.62,7.08,54.43748321,15.2887124,3.250672545,81.855,7.55,6.579298327,9.844804082,66.52316345,28.18267125,61.9133807,6.746500253,19.2,4.0165586,93.99849962
"Horsham","South East England",2021,7.83,73.62637363,3.18,7.54,61.72404655,19.19113766,4.814940616,83.69,8.03,2.880239768,8.427304887,63.23217592,20.44202533,73.79801047,4.746181019,8.4,3.53978894,95.11201629
"Mid Sussex","South East England",2021,7.87,73.02709069,3.67,7,62.30360286,15.84510061,5.825197906,83.23,7.41,2.116443849,9.701619049,65.30971403,20.29122754,74.46104804,3.922876253,9.3,2.66827346,94.57714655
"Worthing","South East England",2021,8.03,73.36769759,3.71,7.48,60.16330535,33.68765077,1.922288559,81.3,8.05,8.272598373,24.20023187,58.60713946,23.6205074,69.33918773,13.43399876,18.6,4.42331811,94.54855196
"Bromsgrove","West Midlands",2021,8.03,74.63837994,2.81,7.98,52.96975817,13.45402391,4.076963423,82.51,7.8,5.061201762,11.22963043,59.02527237,23.43662758,72.69746701,0,11.1,3.40076125,94.59247649
"Malvern Hills","West Midlands",2021,7.72,75.53956835,3.15,7.13,59.69811828,14.68241253,3.182497441,82.48,7.28,5.311850966,8.207756332,59.95605886,28.65053322,69.00257832,7.502532105,15.5,4.01254694,93.65303244
"Redditch","West Midlands",2021,7.17,69.14393227,3.44,6.84,55.83268532,20.13239755,1.413581682,80.645,7.09,5.060302917,17.96162644,67.44457329,24.0718849,56.93084021,1.149478137,17.1,3.89852088,94.05469679
"Worcester","West Midlands",2021,7.5,71.4028777,3.07,7.44,57.5044231,20.21301275,1.973429374,80.85,7.62,5.305939261,20.34904952,63.22484269,25.09862779,68.14934327,19.30185201,12.3,3.60263283,94.30501931
"Wychavon","West Midlands",2021,7.87,74.08906883,3.01,7.62,60.64738263,15.9905779,1.542765928,82.745,7.68,5.309572488,7.151948058,65.7306584,29.43722944,69.02903287,2.253944403,15.7,3.28589179,94.45606695
"Wyre Forest","West Midlands",2021,7.98,68.17343173,3.06,7.5,55.4368922,24.33234652,2.593947287,80.845,7.51,5.062339948,18.13027565,68.92177688,30.1717033,65.35333474,0.982453383,13.1,4.26290875,95.55555556
"St Albans","East of England",2021,7.7,75.89433132,3.35,7.32,63.47211663,17.25564837,3.323622346,83.6,7.7,7.105687899,10.80759177,50.95412076,20.44799873,71.89360712,5.382095115,8.3,2.83014128,96.7961165
"Welwyn Hatfield","East of England",2021,7.66,72.30989957,3.46,7.33,52.75033385,19.35083476,2.584241138,82.24,7.51,7.562977731,13.84897371,64.4602651,26.97510823,61.16179801,2.509662199,12.5,3.24919379,94.93670886
"East Hertfordshire","East of England",2021,7.81,76.35092181,3.07,7.83,57.4566851,26.41797794,2.172862403,83.31,7.64,3.682816597,12.80387415,63.38524812,22.34594265,74.19448065,3.318136269,9.7,3.04381998,95.67404427
"Stevenage","East of England",2021,7.56,72.05240175,3.22,7.1,57.06948745,30.7957078,5.823266037,81.115,7.48,9.136929084,14.88582874,68.45862533,30.09516257,62.66675785,15.67398119,15.3,4.28401501,94.26644182
"East Suffolk","East of England",2021,7.98,71.54811715,3.09,7.8,64.79970352,19.35440394,3.758576011,82.095,7.72,2.256633103,13.53490205,61.88207131,24.64058491,67.38397402,6.07777116,12.1,3.7,94.54225352
"West Suffolk","East of England",2021,7.83,71.06109325,2.98,7.74,63.31210268,17.29628331,3.736907034,82.64,7.92,4.049587709,13.74884694,60.66622404,27.40921409,63.76896837,4.977325517,10.6,3.6,95.41339771
"Somerset West and Taunton","South West England",2021,7.9,71.14216282,2.67,7.76,58.74468648,17.80858911,4.819291921,81.955,7.74,3.397224313,11.03115728,62.64645664,26.60779696,70.84909991,3.799656764,17.3,3.7,93.50453172
"Bolton","North West England",2021,7.88,67.02399183,3.29,7.52,49.99244723,14.2929074,1.276534353,79.215,7.43,4.107574033,10.35370904,63.79828816,32.82620339,57.69432135,3.377910492,18.4,5.471964,92.83088235
"Bury","North West England",2021,7.74,71.65618449,3.44,7.42,51.1844427,18.1617162,1.570974229,80.18,7.44,4.289279946,14.06657583,61.64575753,35.1961927,64.96435452,0.515934641,11.4,4.42366803,93.83624655
"Manchester","North West England",2021,7.72,65.412061,3.41,7.26,53.43880398,14.66538135,4.221030531,77.655,7.45,6.790933187,15.89512248,61.69750384,33.02563019,63.24320853,7.820271964,16.8,6.61237122,91.40981215
"Oldham","North West England",2021,7.81,67.97366058,3.14,7.46,46.72960766,13.53789753,3.371202641,78.85,7.51,4.006261888,9.55785869,70.38280222,33.08030529,59.55304992,0.826200469,19.3,6.49809126,92.51918159
"Rochdale","North West England",2021,7.74,66.43700787,2.8,7.3,44.36289004,12.81905997,1.480254061,78.795,7.42,5.307186386,9.587619258,69.72973221,32.45404737,58.36939662,2.677531494,15.6,6.48836146,93.48947995
