"id","wave","country_name","iso_code","marital_status","num_of_children","rural_urban_living","age_category","education","gender","employment","trust_people","freq_rel_service_use","freq_internet_personal","freq_sports","freq_social_activities","vol_community_service","vol_education_cult_org","vol_social_charities","vol_political_parties","vol_other_organisation","volunteering_frequency","sei_left_out_soc","sei_life_is_complicated","sei_not_recognised","sei_looked_down","sei_feel_close_to_people","sei","mwbi_felt_cheerful","mwbi_felt_calm","mwbi_felt_active","mwbi_felt_fresh","mwbi_life_is_interesting","mwbi_felt_tense","mwbi_felt_lonely","mwbi_felt_downhearted","mwbi","wlbc_too_tired_household","wlbc_fam_responsibilities","wlbc_cannot_focus_on_work","wlbc","hrs_work_first_job","hrs_work_additional_job","work_hrs"
"AT1190314","2011","Italy","IT","Married or living with partner","1","A city or city suburb","65+","Lower secondary education (ISCED 2)","Male","Retired",6,5,5,5,5,4,4,4,4,4,1,5,5,5,5,1,1,1,1,1,1,1,6,6,6,100,NA,NA,NA,NA,NA,NA,NA
"AT1193620","2011","France","FR","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",7,4,1,2,3,1,1,2,4,3,2,3,1,2,5,2,3.25,3,4,3,3,4,2,5,5,52,4,4,5,1,35,NA,35
"AT1211409","2011","France","FR","Married or living with partner","0","A city or city suburb","25-34","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",6,5,1,2,2,4,1,4,4,4,3,4,4,4,5,4,1.75,3,4,4,5,4,6,6,6,40,3,4,5,1,37,NA,37
"AT1159319","2011","France","FR","Never married and not living with partner","0","A medium to large town","25-34","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",6,5,1,3,3,4,4,4,4,2,3,4,5,2,5,3,2,4,2,4,5,5,5,3,5,40,5,5,4,1,39,NA,39
"AT1019516","2011","France","FR","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",8,5,1,2,5,4,1,4,4,4,3,4,4,4,2,5,2.5,6,6,5,5,5,2,3,3,12,1,2,3,2,40,NA,40
"AT1181415","2011","France","FR","Never married and not living with partner","0","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",6,5,5,2,5,4,4,4,4,4,1,5,5,5,4,4,1.25,1,1,1,1,1,5,6,6,100,5,5,5,1,35,NA,35
"AT1128113","2011","France","FR","Never married and not living with partner","0","A medium to large town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",5,5,3,4,4,4,4,4,4,4,1,2,1,1,2,4,4.5,5,5,3,6,5,2,2,2,24,2,5,5,2,35,NA,35
"AT1196825","2011","France","FR","Never married and not living with partner","0","A city or city suburb","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",10,5,1,3,5,4,4,4,4,4,1,5,4,4,4,3,1.75,2,2,2,2,2,6,6,6,80,5,5,5,1,38,NA,38
"AT1072414","2011","France","FR","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Female","Student",2,5,1,4,5,4,4,4,4,4,1,5,5,5,5,4,1,3,6,3,6,3,1,6,3,36,NA,NA,NA,NA,NA,NA,NA
"AT1091819","2011","France","FR","Never married and not living with partner","0","A medium to large town","35-49","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",3,5,1,3,5,4,4,4,4,4,1,5,2,2,2,5,3.25,3,4,3,6,2,4,6,5,48,3,5,5,1,35,NA,35
"AT1092416","2011","France","FR","Separated or divorced and not living with partner","2","A medium to large town","35-49","Upper secondary education (ISCED 3)","Female","Employed (includes on leave)",7,5,1,5,3,4,2,4,4,4,3,5,4,4,4,2,1.75,3,4,2,2,2,4,4,4,68,4,5,3,1,38,NA,38
"AT1199222","2011","France","FR","Never married and not living with partner","0","A medium to large town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",7,5,1,5,5,4,4,4,4,4,1,5,4,2,3,2,2.5,2,3,2,3,4,5,3,6,64,2,5,5,2,39,NA,39
"AT1227820","2011","France","FR","Never married and not living with partner","0","A medium to large town","25-34","Upper secondary education (ISCED 3)","Male","Unemployed",4,NA,1,1,2,4,3,4,4,4,2,3,3,3,3,3,3,2,2,2,2,2,5,5,5,80,NA,NA,NA,NA,NA,NA,NA
"AT1228619","2011","Italy","IT","Separated or divorced and not living with partner","1","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",8,5,2,4,4,4,4,4,4,4,1,4,3,3,4,3,2.5,2,2,2,2,2,4,2,3,80,3,4,4,1,40,NA,40
"AT1048417","2011","Italy","IT","Separated or divorced and not living with partner","1","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",7,3,2,3,3,4,4,4,4,4,1,4,3,4,5,3,2,3,2,2,1,2,4,2,3,80,3,4,4,1,40,NA,40
"AT1218820","2011","Germany","DE","Never married and not living with partner","0","A village/small town","35-49","Upper secondary education (ISCED 3)","Male","Employed (includes on leave)",8,4,1,2,2,3,3,3,3,3,2,2,2,4,2,2,3.5,2,2,2,2,2,2,5,6,80,4,4,4,1,35,NA,35
"AT1217819","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Primary education (ISCED 1)","Male","Employed (includes on leave)",3,4,1,3,2,3,4,4,4,4,2,4,4,2,4,2,2.5,1,2,3,5,1,6,6,6,72,1,1,5,2,60,NA,60
"AT1015108","2011","United Kingdom","GB","Never married and not living with partner","0","A medium to large town","25-34","Lower secondary education (ISCED 2)","Male","Unemployed",8,5,1,5,5,4,4,4,4,4,1,4,4,4,1,2,2.75,2,2,4,4,2,4,6,6,64,NA,NA,NA,NA,NA,NA,NA
"AT1109213","2011","United Kingdom","GB","Married or living with partner","2","A city or city suburb","35-49","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",6,5,1,4,5,2,1,4,4,3,2,3,1,2,1,5,4.25,5,4,2,4,6,2,2,3,36,1,1,2,3,45,NA,45
"AT1196421","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",4,2,1,3,5,1,3,3,4,4,2,4,5,4,4,2,1.75,2,3,4,4,3,4,6,6,56,1,2,5,2,37,NA,37
"AT1156417","2011","United Kingdom","GB","Married or living with partner","3","A city or city suburb","25-34","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",4,2,1,NA,5,4,4,4,4,2,3,4,4,4,4,2,2,1,1,1,1,3,5,6,6,92,1,2,5,2,40,NA,40
"AT1147518","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Tertiary education - first level (ISCED 5)","Male","Employed (includes on leave)",7,5,1,2,2,4,4,4,4,4,1,4,4,4,4,3,2,2,3,2,2,3,3,5,5,72,4,5,5,1,21,NA,21
"AT1054111","2011","United Kingdom","GB","Never married and not living with partner","0","A city or city suburb","18-24","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",8,5,1,2,4,4,4,4,4,4,1,4,4,4,4,3,2,2,2,3,2,3,4,5,6,72,2,4,4,2,50,NA,50
"AT1058216","2011","United Kingdom","GB","Never married and not living with partner","0","The open countryside","18-24","Upper secondary education (ISCED 3)","Male","Student",8,5,1,2,2,4,4,4,4,4,1,5,4,4,5,3,1.5,3,3,3,4,3,4,4,4,56,NA,NA,NA,NA,NA,NA,NA
"AT1063313","2011","United Kingdom","GB","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Female","Employed (includes on leave)",8,2,1,1,2,4,1,3,3,1,2,4,4,4,4,2,2,2,3,3,4,1,5,6,6,68,5,5,5,1,35,NA,35
"AT1079623","2011","United Kingdom","GB","Never married and not living with partner","0","A medium to large town","18-24","Tertiary education - first level (ISCED 5)","Male","Unemployed",2,2,1,2,4,2,4,4,4,4,3,5,5,5,5,1,1,4,1,5,5,5,6,6,6,40,NA,NA,NA,NA,NA,NA,NA
"AT1087319","2011","United Kingdom","GB","Never married and not living with partner",NA,"A medium to large town","25-34","Upper secondary education (ISCED 3)","Male","Unemployed",7,4,1,2,2,4,4,4,4,2,3,4,4,4,3,3,2.25,4,4,4,5,5,4,5,5,32,NA,NA,NA,NA,NA,NA,NA
"AT1087925","2011","United Kingdom","GB","Married or living with partner","3","A village/small town","35-49","Lower secondary education (ISCED 2)","Male","Employed (includes on leave)",6,5,5,5,5,4,4,4,4,4,1,3,3,3,3,2,3,5,5,6,5,5,1,5,2,16,4,3,4,1,37,NA,37
"AT1056012","2011","United Kingdom","GB","Separated or divorced and not living with partner","1","A village/small town","25-34","Lower secondary education (ISCED 2)","Male","Unable to work - disability/illness",5,5,5,1,5,4,4,4,4,4,1,4,4,5,1,4,2.5,3,5,2,6,6,1,1,1,32,NA,NA,NA,NA,NA,NA,NA
"AT1079421","2011","United Kingdom","GB","Never married and not living with partner","0","A medium to large town","18-24","Upper secondary education (ISCED 3)","Male","Student",2,1,1,2,3,4,4,4,4,4,1,2,2,2,3,4,3.75,3,3,4,5,4,3,6,6,44,NA,NA,NA,NA,NA,NA,NA
